cnt	sum	min	avg	max	sumLock	sumRows	avgRows	db	digest
1	0.004017146	0.004017146	0.004017146	0.004017146	0	0	0.0000	isucondition	9cb7120e6230bec50311bcf4d65f159c
32	0.001072846	1.8767e-05	3.3526e-05	4.7912e-05	0	0	0.0000	isucondition	538c71f0f7af8602f5f99af1a69c2be2
33	0.000804202	1.8124e-05	2.4369e-05	3.5919e-05	0	0	0.0000	isucondition	50fd4db40e287b99826adf54141fa3e9
1	0.00042234	0.00042234	0.00042234	0.00042234	0.000218	25	25.0000	isucondition	6cc1829070409baf6f4e6ea58e802a6b
1	0.000351738	0.000351738	0.000351738	0.000351738	3.7e-05	1	1.0000	mysql	650040c7065d2d2fc47653d0f4f6f7a8
1	6.5448e-05	6.5448e-05	6.5448e-05	6.5448e-05	0	0	0.0000	mysql	dc9ff18097e9a7e489a4f7f61c491ee1
