Top 40 Sort By Count
 Count     Total    Mean  Stddev    Min  P50.0  P90.0  P95.0  P99.0    Max     2xx  3xx   4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 4  1.004  GET /api/trend HTTP/2.0
 5  1.003  GET /api/trend HTTP/2.0
 6  1.002  GET /api/trend HTTP/2.0
 7  1.002  GET /api/trend HTTP/2.0
 8  1.002  GET /api/trend HTTP/2.0
 9  1.001  GET /api/trend HTTP/2.0
10  1.001  GET /api/trend HTTP/2.0
11  1.001  GET /api/trend HTTP/2.0
12  1.001  GET /api/trend HTTP/2.0
13  1.001  GET /api/trend HTTP/2.0
14  1.001  GET /api/trend HTTP/2.0
15  1.001  GET /api/trend HTTP/2.0
16  1.001  GET /api/trend HTTP/2.0
17  1.000  GET /api/trend HTTP/2.0
18  1.000  GET /api/trend HTTP/2.0
19  1.000  GET /api/trend HTTP/2.0
20  1.000  GET /api/trend HTTP/2.0
21  1.000  GET /api/trend HTTP/2.0
22  1.000  GET /api/trend HTTP/2.0
23  1.000  GET /api/trend HTTP/2.0
24  1.000  GET /api/trend HTTP/2.0
25  1.000  GET /api/trend HTTP/2.0
26  1.000  GET /api/trend HTTP/2.0
27  1.000  GET /api/trend HTTP/2.0
28  1.000  GET /api/trend HTTP/2.0
29  1.000  GET /api/trend HTTP/2.0
30  1.000  GET /api/trend HTTP/2.0
31  1.000  GET /api/trend HTTP/2.0
32  1.000  GET /api/trend HTTP/2.0
33  1.000  GET /api/trend HTTP/2.0
34  1.000  GET /api/trend HTTP/2.0
35  1.000  GET /api/trend HTTP/2.0
36  1.000  GET /api/trend HTTP/2.0
37  1.000  GET /api/trend HTTP/2.0
